"code_1","code_2","code_3","code_4","code_5","code_6","code_7","code_8","code_9","code_10","code_11","code_12","code_13","code_14","code_15","code_16","code_17","code_18","code_19","code_20","code_21","code_22","code_23","code_24","code_25","code_26","code_27","code_28","code_29","code_30","code_31","code_32","code_33","code_34","code_35","code_36","prompt_1","prompt_2","prompt_3","prompt_4","prompt_5","prompt_6","prompt_7","prompt_8","prompt_9","prompt_10","prompt_11","prompt_12","prompt_13","prompt_14","prompt_15","prompt_16","prompt_17","prompt_18","prompt_19","prompt_20","prompt_21","prompt_22","prompt_23","prompt_24","prompt_25","prompt_26","prompt_27","prompt_28","prompt_29","prompt_30","prompt_31","prompt_32","prompt_33","prompt_34","prompt_35","prompt_36","list"
"verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","filler_value=low","verb_valence=positive,property_valence=positive","filler_value=low","filler_value=high","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","filler_value=high","verb_valence=positive,property_valence=positive","filler_value=low","filler_value=low","verb_valence=positive,property_valence=positive","verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","filler_value=low","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","filler_value=low","filler_value=high","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","verb_valence=negative,property_valence=negative","filler_value=high","verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","filler_value=high","verb_valence=negative,property_valence=negative","filler_value=high","How likely is someone being rude to bother people?","How likely is someone being stupid to annoy people?","How likely is having a parent die to make someone happy?","How likely is someone being courageous to comfort people?","How likely is winning the lottery to make someone sad?","How likely is having a parent die to make someone sad?","How likely is someone being energetic to excite people?","How likely is someone being talented to inspire people?","How likely is someone being enthusiastic to delight people?","How likely is someone being faithful to encourage people?","How likely is someone being cheerful to charm people?","How likely is having a birthday party to make someone pleased?","How likely is someone being smart to amaze people?","How likely is going on vacation to make someone stressed?","How likely is having a birthday party to make someone upset?","How likely is someone being funny to entertain people?","How likely is someone being unfriendly to depress people?","How likely is someone being creepy to anger people?","How likely is crashing their car to make someone pleased?","How likely is someone being jealous to worry people?","How likely is someone being knowledgeable to fascinate people?","How likely is someone being hateful to discourage people?","How likely is someone being honest to relieve people?","How likely is someone being vengeful to upset people?","How likely is someone being conceited to aggravate people?","How likely is losing their job to make someone relaxed?","How likely is winning the lottery to make someone happy?","How likely is someone being confident to impress people?","How likely is someone being playful to amuse people?","How likely is someone being inconsiderate to disappoint people?","How likely is crashing their car to make someone upset?","How likely is someone being greedy to displease people?","How likely is someone being violent to hurt people?","How likely is losing their job to make someone stressed?","How likely is someone being incompetent to irritate people?","How likely is going on vacation to make someone relaxed?",1
"filler_value=low","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","filler_value=low","verb_valence=positive,property_valence=positive","filler_value=low","filler_value=high","verb_valence=negative,property_valence=negative","filler_value=high","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","filler_value=high","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","verb_valence=negative,property_valence=negative","filler_value=low","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","filler_value=high","verb_valence=positive,property_valence=positive","filler_value=low","verb_valence=negative,property_valence=negative","filler_value=high","verb_valence=negative,property_valence=negative","filler_value=high","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","filler_value=low","verb_valence=positive,property_valence=positive","verb_valence=negative,property_valence=negative","How likely is having a birthday party to make someone upset?","How likely is someone being rude to bother people?","How likely is someone being confident to impress people?","How likely is losing their job to make someone relaxed?","How likely is someone being funny to entertain people?","How likely is going on vacation to make someone stressed?","How likely is losing their job to make someone stressed?","How likely is someone being conceited to aggravate people?","How likely is crashing their car to make someone upset?","How likely is someone being vengeful to upset people?","How likely is someone being playful to amuse people?","How likely is someone being unfriendly to depress people?","How likely is someone being stupid to annoy people?","How likely is someone being cheerful to charm people?","How likely is going on vacation to make someone relaxed?","How likely is someone being honest to relieve people?","How likely is someone being energetic to excite people?","How likely is someone being creepy to anger people?","How likely is crashing their car to make someone pleased?","How likely is someone being talented to inspire people?","How likely is someone being courageous to comfort people?","How likely is someone being inconsiderate to disappoint people?","How likely is someone being jealous to worry people?","How likely is someone being violent to hurt people?","How likely is having a birthday party to make someone pleased?","How likely is someone being enthusiastic to delight people?","How likely is winning the lottery to make someone sad?","How likely is someone being greedy to displease people?","How likely is having a parent die to make someone sad?","How likely is someone being hateful to discourage people?","How likely is winning the lottery to make someone happy?","How likely is someone being knowledgeable to fascinate people?","How likely is someone being smart to amaze people?","How likely is having a parent die to make someone happy?","How likely is someone being faithful to encourage people?","How likely is someone being incompetent to irritate people?",2
"verb_valence=positive,property_valence=positive","verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","verb_valence=negative,property_valence=negative","filler_value=low","filler_value=high","filler_value=low","filler_value=high","filler_value=high","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","filler_value=low","verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","filler_value=high","verb_valence=positive,property_valence=positive","verb_valence=negative,property_valence=negative","filler_value=low","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","filler_value=high","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","filler_value=low","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","filler_value=low","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","verb_valence=negative,property_valence=negative","filler_value=high","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","How likely is someone being talented to inspire people?","How likely is someone being creepy to anger people?","How likely is someone being conceited to aggravate people?","How likely is someone being faithful to encourage people?","How likely is someone being vengeful to upset people?","How likely is having a parent die to make someone happy?","How likely is losing their job to make someone stressed?","How likely is crashing their car to make someone pleased?","How likely is having a parent die to make someone sad?","How likely is winning the lottery to make someone happy?","How likely is someone being honest to relieve people?","How likely is someone being courageous to comfort people?","How likely is someone being smart to amaze people?","How likely is having a birthday party to make someone upset?","How likely is someone being unfriendly to depress people?","How likely is someone being stupid to annoy people?","How likely is crashing their car to make someone upset?","How likely is someone being confident to impress people?","How likely is someone being inconsiderate to disappoint people?","How likely is going on vacation to make someone stressed?","How likely is someone being greedy to displease people?","How likely is someone being playful to amuse people?","How likely is having a birthday party to make someone pleased?","How likely is someone being jealous to worry people?","How likely is someone being enthusiastic to delight people?","How likely is winning the lottery to make someone sad?","How likely is someone being violent to hurt people?","How likely is someone being energetic to excite people?","How likely is someone being cheerful to charm people?","How likely is losing their job to make someone relaxed?","How likely is someone being incompetent to irritate people?","How likely is someone being knowledgeable to fascinate people?","How likely is someone being hateful to discourage people?","How likely is going on vacation to make someone relaxed?","How likely is someone being rude to bother people?","How likely is someone being funny to entertain people?",3
"filler_value=low","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","filler_value=low","filler_value=high","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","filler_value=high","filler_value=high","verb_valence=positive,property_valence=positive","verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","filler_value=high","filler_value=low","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","verb_valence=negative,property_valence=negative","filler_value=high","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","filler_value=low","verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","filler_value=low","filler_value=high","verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","filler_value=low","How likely is winning the lottery to make someone sad?","How likely is someone being hateful to discourage people?","How likely is someone being smart to amaze people?","How likely is crashing their car to make someone pleased?","How likely is winning the lottery to make someone happy?","How likely is someone being energetic to excite people?","How likely is someone being cheerful to charm people?","How likely is someone being honest to relieve people?","How likely is someone being talented to inspire people?","How likely is someone being courageous to comfort people?","How likely is having a birthday party to make someone pleased?","How likely is going on vacation to make someone relaxed?","How likely is someone being faithful to encourage people?","How likely is someone being creepy to anger people?","How likely is someone being inconsiderate to disappoint people?","How likely is losing their job to make someone stressed?","How likely is going on vacation to make someone stressed?","How likely is someone being violent to hurt people?","How likely is someone being knowledgeable to fascinate people?","How likely is someone being confident to impress people?","How likely is someone being rude to bother people?","How likely is crashing their car to make someone upset?","How likely is someone being jealous to worry people?","How likely is someone being playful to amuse people?","How likely is someone being funny to entertain people?","How likely is losing their job to make someone relaxed?","How likely is someone being incompetent to irritate people?","How likely is someone being vengeful to upset people?","How likely is having a parent die to make someone happy?","How likely is having a parent die to make someone sad?","How likely is someone being greedy to displease people?","How likely is someone being stupid to annoy people?","How likely is someone being conceited to aggravate people?","How likely is someone being unfriendly to depress people?","How likely is someone being enthusiastic to delight people?","How likely is having a birthday party to make someone upset?",4
"filler_value=high","verb_valence=positive,property_valence=positive","verb_valence=negative,property_valence=negative","filler_value=low","verb_valence=positive,property_valence=positive","filler_value=low","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","filler_value=high","filler_value=low","filler_value=low","filler_value=high","verb_valence=negative,property_valence=negative","filler_value=high","verb_valence=negative,property_valence=negative","filler_value=low","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","filler_value=high","filler_value=low","verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","verb_valence=negative,property_valence=negative","filler_value=high","verb_valence=negative,property_valence=negative","How likely is crashing their car to make someone upset?","How likely is someone being knowledgeable to fascinate people?","How likely is someone being incompetent to irritate people?","How likely is crashing their car to make someone pleased?","How likely is someone being smart to amaze people?","How likely is going on vacation to make someone stressed?","How likely is someone being stupid to annoy people?","How likely is someone being confident to impress people?","How likely is someone being jealous to worry people?","How likely is someone being energetic to excite people?","How likely is someone being talented to inspire people?","How likely is losing their job to make someone stressed?","How likely is winning the lottery to make someone sad?","How likely is having a birthday party to make someone upset?","How likely is winning the lottery to make someone happy?","How likely is someone being inconsiderate to disappoint people?","How likely is going on vacation to make someone relaxed?","How likely is someone being rude to bother people?","How likely is having a parent die to make someone happy?","How likely is someone being honest to relieve people?","How likely is someone being funny to entertain people?","How likely is having a birthday party to make someone pleased?","How likely is losing their job to make someone relaxed?","How likely is someone being hateful to discourage people?","How likely is someone being greedy to displease people?","How likely is someone being faithful to encourage people?","How likely is someone being enthusiastic to delight people?","How likely is someone being playful to amuse people?","How likely is someone being creepy to anger people?","How likely is someone being courageous to comfort people?","How likely is someone being vengeful to upset people?","How likely is someone being conceited to aggravate people?","How likely is someone being cheerful to charm people?","How likely is someone being violent to hurt people?","How likely is having a parent die to make someone sad?","How likely is someone being unfriendly to depress people?",5
"filler_value=low","filler_value=high","filler_value=low","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","filler_value=low","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","filler_value=high","verb_valence=positive,property_valence=positive","verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","filler_value=low","filler_value=high","verb_valence=positive,property_valence=positive","verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","filler_value=high","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","filler_value=low","verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","verb_valence=negative,property_valence=negative","filler_value=high","filler_value=low","verb_valence=positive,property_valence=positive","filler_value=high","verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","How likely is crashing their car to make someone pleased?","How likely is losing their job to make someone stressed?","How likely is losing their job to make someone relaxed?","How likely is someone being confident to impress people?","How likely is someone being knowledgeable to fascinate people?","How likely is winning the lottery to make someone sad?","How likely is someone being jealous to worry people?","How likely is someone being enthusiastic to delight people?","How likely is going on vacation to make someone relaxed?","How likely is someone being playful to amuse people?","How likely is someone being greedy to displease people?","How likely is someone being rude to bother people?","How likely is someone being energetic to excite people?","How likely is going on vacation to make someone stressed?","How likely is having a birthday party to make someone pleased?","How likely is someone being honest to relieve people?","How likely is someone being stupid to annoy people?","How likely is someone being inconsiderate to disappoint people?","How likely is someone being incompetent to irritate people?","How likely is crashing their car to make someone upset?","How likely is someone being courageous to comfort people?","How likely is someone being funny to entertain people?","How likely is having a birthday party to make someone upset?","How likely is someone being hateful to discourage people?","How likely is someone being vengeful to upset people?","How likely is someone being smart to amaze people?","How likely is someone being unfriendly to depress people?","How likely is winning the lottery to make someone happy?","How likely is having a parent die to make someone happy?","How likely is someone being cheerful to charm people?","How likely is having a parent die to make someone sad?","How likely is someone being violent to hurt people?","How likely is someone being creepy to anger people?","How likely is someone being conceited to aggravate people?","How likely is someone being talented to inspire people?","How likely is someone being faithful to encourage people?",6
"filler_value=high","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","filler_value=high","verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","filler_value=low","verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","filler_value=high","filler_value=low","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","filler_value=high","filler_value=low","filler_value=low","verb_valence=positive,property_valence=positive","filler_value=high","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","filler_value=low","verb_valence=positive,property_valence=positive","filler_value=low","filler_value=high","verb_valence=negative,property_valence=negative","How likely is having a parent die to make someone sad?","How likely is someone being rude to bother people?","How likely is someone being enthusiastic to delight people?","How likely is having a birthday party to make someone pleased?","How likely is someone being jealous to worry people?","How likely is someone being unfriendly to depress people?","How likely is going on vacation to make someone stressed?","How likely is someone being violent to hurt people?","How likely is someone being conceited to aggravate people?","How likely is someone being knowledgeable to fascinate people?","How likely is someone being energetic to excite people?","How likely is someone being stupid to annoy people?","How likely is someone being vengeful to upset people?","How likely is someone being inconsiderate to disappoint people?","How likely is crashing their car to make someone upset?","How likely is having a parent die to make someone happy?","How likely is someone being cheerful to charm people?","How likely is someone being smart to amaze people?","How likely is someone being confident to impress people?","How likely is someone being playful to amuse people?","How likely is someone being creepy to anger people?","How likely is someone being talented to inspire people?","How likely is losing their job to make someone stressed?","How likely is having a birthday party to make someone upset?","How likely is winning the lottery to make someone sad?","How likely is someone being honest to relieve people?","How likely is going on vacation to make someone relaxed?","How likely is someone being incompetent to irritate people?","How likely is someone being courageous to comfort people?","How likely is someone being hateful to discourage people?","How likely is someone being funny to entertain people?","How likely is losing their job to make someone relaxed?","How likely is someone being faithful to encourage people?","How likely is crashing their car to make someone pleased?","How likely is winning the lottery to make someone happy?","How likely is someone being greedy to displease people?",7
"filler_value=low","filler_value=low","verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","filler_value=low","filler_value=high","verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","filler_value=high","verb_valence=positive,property_valence=positive","filler_value=low","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","filler_value=high","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","filler_value=high","filler_value=high","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","filler_value=high","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","filler_value=low","verb_valence=negative,property_valence=negative","filler_value=low","verb_valence=positive,property_valence=positive","How likely is losing their job to make someone relaxed?","How likely is crashing their car to make someone pleased?","How likely is someone being jealous to worry people?","How likely is someone being conceited to aggravate people?","How likely is someone being stupid to annoy people?","How likely is someone being incompetent to irritate people?","How likely is going on vacation to make someone stressed?","How likely is having a parent die to make someone sad?","How likely is someone being rude to bother people?","How likely is someone being unfriendly to depress people?","How likely is someone being greedy to displease people?","How likely is someone being creepy to anger people?","How likely is someone being funny to entertain people?","How likely is losing their job to make someone stressed?","How likely is someone being smart to amaze people?","How likely is winning the lottery to make someone sad?","How likely is someone being playful to amuse people?","How likely is someone being cheerful to charm people?","How likely is crashing their car to make someone upset?","How likely is someone being vengeful to upset people?","How likely is someone being energetic to excite people?","How likely is someone being violent to hurt people?","How likely is someone being hateful to discourage people?","How likely is winning the lottery to make someone happy?","How likely is having a birthday party to make someone pleased?","How likely is someone being confident to impress people?","How likely is someone being faithful to encourage people?","How likely is going on vacation to make someone relaxed?","How likely is someone being enthusiastic to delight people?","How likely is someone being honest to relieve people?","How likely is someone being talented to inspire people?","How likely is someone being courageous to comfort people?","How likely is having a birthday party to make someone upset?","How likely is someone being inconsiderate to disappoint people?","How likely is having a parent die to make someone happy?","How likely is someone being knowledgeable to fascinate people?",8
"filler_value=high","verb_valence=positive,property_valence=positive","verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","filler_value=high","verb_valence=negative,property_valence=negative","filler_value=low","verb_valence=negative,property_valence=negative","filler_value=low","filler_value=low","verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","filler_value=low","filler_value=high","filler_value=low","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","filler_value=high","filler_value=high","filler_value=low","verb_valence=positive,property_valence=positive","verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","filler_value=high","verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","verb_valence=negative,property_valence=negative","How likely is crashing their car to make someone upset?","How likely is someone being talented to inspire people?","How likely is someone being rude to bother people?","How likely is someone being inconsiderate to disappoint people?","How likely is winning the lottery to make someone happy?","How likely is someone being vengeful to upset people?","How likely is going on vacation to make someone stressed?","How likely is someone being conceited to aggravate people?","How likely is having a parent die to make someone happy?","How likely is losing their job to make someone relaxed?","How likely is someone being stupid to annoy people?","How likely is someone being creepy to anger people?","How likely is having a birthday party to make someone upset?","How likely is losing their job to make someone stressed?","How likely is crashing their car to make someone pleased?","How likely is someone being smart to amaze people?","How likely is someone being playful to amuse people?","How likely is someone being jealous to worry people?","How likely is someone being faithful to encourage people?","How likely is someone being enthusiastic to delight people?","How likely is someone being knowledgeable to fascinate people?","How likely is someone being honest to relieve people?","How likely is someone being confident to impress people?","How likely is someone being energetic to excite people?","How likely is someone being funny to entertain people?","How likely is going on vacation to make someone relaxed?","How likely is having a parent die to make someone sad?","How likely is winning the lottery to make someone sad?","How likely is someone being cheerful to charm people?","How likely is someone being incompetent to irritate people?","How likely is someone being unfriendly to depress people?","How likely is having a birthday party to make someone pleased?","How likely is someone being violent to hurt people?","How likely is someone being hateful to discourage people?","How likely is someone being courageous to comfort people?","How likely is someone being greedy to displease people?",9
"verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","filler_value=high","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","filler_value=low","verb_valence=positive,property_valence=positive","verb_valence=negative,property_valence=negative","filler_value=high","filler_value=high","verb_valence=negative,property_valence=negative","filler_value=low","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","filler_value=low","filler_value=low","verb_valence=positive,property_valence=positive","filler_value=high","filler_value=high","filler_value=low","verb_valence=positive,property_valence=positive","verb_valence=negative,property_valence=negative","verb_valence=negative,property_valence=negative","filler_value=low","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","verb_valence=positive,property_valence=positive","filler_value=high","verb_valence=negative,property_valence=negative","verb_valence=positive,property_valence=positive","verb_valence=negative,property_valence=negative","How likely is someone being unfriendly to depress people?","How likely is someone being vengeful to upset people?","How likely is losing their job to make someone stressed?","How likely is someone being knowledgeable to fascinate people?","How likely is someone being energetic to excite people?","How likely is someone being confident to impress people?","How likely is someone being courageous to comfort people?","How likely is crashing their car to make someone pleased?","How likely is someone being smart to amaze people?","How likely is someone being violent to hurt people?","How likely is having a birthday party to make someone pleased?","How likely is winning the lottery to make someone happy?","How likely is someone being inconsiderate to disappoint people?","How likely is winning the lottery to make someone sad?","How likely is someone being incompetent to irritate people?","How likely is someone being funny to entertain people?","How likely is someone being hateful to discourage people?","How likely is someone being stupid to annoy people?","How likely is someone being greedy to displease people?","How likely is losing their job to make someone relaxed?","How likely is having a parent die to make someone happy?","How likely is someone being talented to inspire people?","How likely is crashing their car to make someone upset?","How likely is having a parent die to make someone sad?","How likely is having a birthday party to make someone upset?","How likely is someone being honest to relieve people?","How likely is someone being rude to bother people?","How likely is someone being conceited to aggravate people?","How likely is going on vacation to make someone stressed?","How likely is someone being faithful to encourage people?","How likely is someone being enthusiastic to delight people?","How likely is someone being playful to amuse people?","How likely is going on vacation to make someone relaxed?","How likely is someone being creepy to anger people?","How likely is someone being cheerful to charm people?","How likely is someone being jealous to worry people?",10
